iter	RMSE
412	689218.3263
413	689140.1873
414	689122.1965
415	689116.3492
416	688949.5514
417	688905.5311
418	688787.7607
419	688562.1419
420	688490.0363
421	688466.944
422	688445.1669
423	688407.059
424	688386.1656
425	688175.4115
426	688161.8656
427	687670.4683
428	687493.2872
429	687434.9605
430	687276.2694
431	687181.7874
432	687115.2193
433	686929.8597
434	686696.5208
435	686242.6569
436	686103.4699
437	685684.4562
438	685382.5085
439	685344.7577
440	684981.2639
441	684942.7638
442	684884.9612
443	684874.5219
444	684732.6654
445	684712.8274
446	684703.3102
447	684685.6695
448	684656.616
449	684269.9224
450	684048.7787
451	683853.0173
452	683834.1404
453	683824.894
454	683818.7825
455	683791.2192
456	683684.0327
457	683674.9564
458	683317.9099
459	682971.564
460	682642.338
461	682634.8486
462	682626.937
463	682615.1228
464	682488.9728
465	682319.4948
466	682117.5055
467	681888.8493
468	681878.9429
469	681872.0394
470	681542.2134
471	681391.675
472	681375.3865
473	681315.9597
474	681271.9275
475	681095.3665
476	680790.589
477	680696.3425
478	680634.3357
479	680450.2157
480	679816.4304
481	679783.9937
482	679726.12
483	679717.8878
484	679555.0334
485	679536.784
486	679452.7041
487	679440.9174
488	679343.8125
489	679065.4633
490	678919.2352
491	678620.7626
492	678533.0841
493	678246.1398
494	678242.0423
495	678186.5113
496	678177.4223
497	678160.9853
498	677900.8525
499	677874.3619
500	677859.5997
501	677544.3922
502	677244.7367
503	677045.5395
504	676760.5741
505	676707.2324
506	676498.7071
507	676328.0943
508	676317.1367
509	676306.7677
510	676143.5297
511	676096.2393
512	676069.0815
513	675915.0331
514	675905.6221
515	675868.5155
516	675774.78
517	675766.9434
518	675687.2617
519	674720.844
520	674715.7353
521	673795.8412
522	673790.6544
523	673610.3907
524	673568.3828
525	673554.1822
526	673495.4309
527	673415.7047
528	673381.4608
529	673364.9604
530	673355.0336
531	673202.0872
532	673196.2532
533	673171.6241
534	673155.8219
535	672883.4405
536	672727.3572
537	672711.1294
538	672701.7986
539	672548.8304
540	672537.3083
541	672512.2964
542	672500.895
543	672388.4366
544	672379.3556
545	672370.0279
546	672176.6414
547	672171.1917
548	671948.7114
549	671934.2322
550	671929.9563
551	671882.9552
552	671687.5524
553	671644.547
554	671584.5349
555	671505.7704
556	670627.2468
557	670623.801
558	670544.0703
559	670504.1509
560	670430.8863
561	670342.0862
562	670161.7561
563	669949.1364
564	669920.1043
565	669911.2459
566	669770.9192
567	669727.5513
568	669720.4773
569	669579.8648
570	669541.7376
571	669352.5385
572	669315.8062
573	669309.7517
574	669297.3303
575	669274.4269
576	669143.764
577	668941.3529
578	668796.2735
579	668552.7324
580	668548.3073
581	668475.1871
582	668471.3546
583	668430.0581
584	668339.1271
585	668335.7052
586	668329.0738
587	668310.2416
588	668304.19
589	668170.3612
590	668165.3513
591	668081.6256
592	667905.4201
593	667894.0895
594	667775.5657
595	667726.4543
596	667709.0783
597	667448.1468
598	667327.3602
599	667322.993
600	667283.6951
601	667221.721
602	667016.3347
603	666877.9192
604	666794.5113
605	666602.7821
606	666471.3511
607	666457.9852
608	666430.0188
609	666200.4312
610	666004.9613
611	666001.2302
612	665887.6534
613	665867.1233
614	665787.557
615	665698.938
616	665682.1637
617	665674.0227
618	665488.1032
619	665305.7038
620	665275.4148
621	665156.6079
622	665143.4145
623	665024.109
624	664903.2813
625	664789.7933
626	663946.9185
627	663894.4353
628	663883.6241
629	663871.4641
630	663865.2166
631	663657.5296
632	663651.4769
633	663552.6981
634	663541.6068
635	663286.9483
636	663109.6479
637	663092.0411
638	663083.4676
639	663076.9752
640	663058.2749
641	663049.8023
642	662941.9402
643	662917.5841
644	662115.2079
645	662065.0694
646	661996.971
647	661879.8893
648	661872.293
649	661765.3332
650	661759.1537
651	661743.1832
652	661719.8798
653	661712.4169
654	661601.1903
655	661419.3955
656	661414.8186
657	661317.4831
658	661125.2832
659	661119.8007
660	661113.7781
661	660950.9513
662	660847.6032
663	660706.0342
664	660528.4942
665	660467.1499
666	660429.438
667	659663.9233
668	659652.2884
669	659572.7013
670	659409.2159
671	659392.1645
672	659385.7016
673	659362.6289
674	659358.2278
675	658629.3073
676	658451.4434
677	658447.2558
678	658423.8024
679	658395.6897
680	658231.2292
681	657979.7
682	657966.8132
683	657929.3126
684	657755.6802
685	657723.829
686	657686.0732
687	657679.3138
688	657625.4243
689	657620.7274
690	657594.3056
691	657471.8677
692	657387.109
693	657287.2683
694	657193.393
695	656953.945
696	656922.9678
697	656880.9492
698	656747.5105
699	656694.462
700	656658.4253
701	656501.9775
702	656369.1746
703	656361.9745
704	656343.266
705	656273.9423
706	656271.2621
707	656269.0257
708	656103.6006
709	656068.9884
710	655922.2689
711	655883.1975
712	655820.5614
713	655788.5804
714	655619.932
715	655391.8318
716	655390.7082
717	655374.6491
718	655363.716
719	655224.127
720	655218.1675
721	655188.7381
722	655161.5993
723	655040.4366
724	654997.9862
725	654945.875
726	654931.6479
727	654774.1481
728	654753.5062
729	654493.2691
730	654474.3008
731	654257.1058
732	654210.3042
733	654003.7747
734	654002.4053
735	653975.2454
736	653818.536
737	653119.9248
738	653079.2903
739	652414.4737
740	652356.8531
741	652341.2601
742	652322.4547
743	652307.9783
744	652306.7621
745	651674.0661
746	651495.6204
747	651473.7277
748	651332.5409
749	651331.1704
750	651293.5397
751	650691.175
752	650539.5977
753	650422.083
754	650287.4255
755	650125.9506
756	650124.8278
757	650120.1977
758	650113.8623
759	650000.1136
760	649977.4026
761	649976.3597
762	649951.0419
763	649933.4271
764	649918.3568
765	649775.1009
766	649680.9776
767	649650.3985
768	649643.1985
769	649631.49
770	649623.6637
771	649619.4843
772	649585.304
773	649401.1832
774	649312.7014
775	649306.709
776	649074.3248
777	649068.933
778	649004.952
779	648983.4451
780	648817.9386
781	648798.731
782	648793.3486
783	648728.3651
784	648694.5762
785	648606.1412
786	648576.6753
787	648572.6743
788	648560.9106
789	648512.4901
790	648508.1174
791	648502.4559
792	648381.9155
793	648364.3038
794	648346.6071
795	648317.3435
796	647741.3402
797	647735.9204
798	647691.2785
799	647687.4694
800	647669.8506
801	647556.1308
802	647555.0841
803	647449.8079
804	646889.5354
805	646857.3246
806	646773.7868
807	646752.175
808	646741.389
809	646705.4641
810	646695.1849
811	646656.1344
812	646553.6337
813	646429.2449
814	646342.3026
815	646338.6091
816	646330.3862
817	646315.5181
818	646280.3814
819	646271.7895
820	646159.9303
821	646158.8577
822	646128.2028
823	646051.5371
824	646043.7507
825	646008.1968
826	645991.7298
827	645941.9343
828	645931.9867
829	645915.7774
830	645908.7662
831	645883.5454
832	645878.5713
833	645875.0425
834	645867.8039
835	645843.694
836	645822.6762
837	645802.5552
838	645281.4228
839	645220.3643
840	645215.4273
841	645190.5282
842	645183.1871
843	645163.1427
844	645056.6738
845	645038.3961
846	645031.1919
847	645021.1729
848	645013.4473
849	645011.0591
850	644960.1597
851	644865.3461
852	644857.1265
853	644808.9196
854	644703.8805
855	644674.677
856	644671.2617
857	644597.842
858	644595.9733
859	644099.6798
860	644095.1991
861	644051.784
862	644043.601
863	643946.5033
864	643697.8987
865	643691.0334
866	643439.5112
867	643437.0612
868	643413.7016
869	643401.7937
870	642928.4921
871	642925.2149
872	642897.6736
873	642807.7245
874	642788.5995
875	642720.5719
876	642717.475
877	642714.2575
878	642686.1621
879	642597.3616
880	642579.1619
881	642561.1288
882	642540.7155
883	642456.6745
884	642447.8705
885	642407.6905
886	641957.1017
887	641953.31
888	641524.6932
889	641520.5951
890	641448.8186
891	641446.153
892	641429.0549
893	641410.5481
894	641258.8451
895	641241.6796
896	641235.4765
897	641227.0975
898	640989.9163
899	640959.4547
900	640864.9017
901	640734.5642
902	640731.1431
903	640712.7034
904	640487.1547
905	640246.8565
906	640226.1472
907	640200.7097
908	640168.0771
909	640145.2065
910	640101.3558
911	640055.5526
912	640037.7333
913	640017.8537
914	640008.6121
915	640006.0349
916	639945.7472
917	639936.046
918	639932.1979
919	639701.0672
920	639657.4965
921	639647.5299
922	639630.6424
923	639615.6254
924	639582.9184
925	639558.5616
926	639343.7148
927	638934.6912
928	638908.022
929	638703.7442
930	638687.4303
931	638681.086
932	638668.6517
933	638512.4965
934	638372.4212
935	638353.48
936	638339.8661
937	638331.4377
938	638326.9216
939	638324.4712
940	638323.5357
941	638301.4893
942	638204.0393
943	638105.8937
944	638098.252
945	638030.7788
946	638019.2966
947	638005.2009
948	637904.7643
949	637864.6498
950	637783.3277
951	637780.639
952	637716.2175
953	637697.369
954	637696.4665
955	637687.1442
956	637551.6335
957	637477.0903
958	637420.9818
959	637417.5306
960	637276.7348
961	637197.7411
962	637172.0996
963	637164.8878
964	637161.86
965	637150.6798
966	637118.2631
967	637053.0338
968	636981.4424
969	636965.5483
970	636882.4489
971	636873.8105
972	636794.8318
973	636736.8486
974	636339.3295
975	636302.1946
976	636168.1662
977	636163.7916
978	636161.3012
979	636159.6273
980	636157.097
981	636140.4657
982	636135.3649
983	636069.71
984	635947.9687
985	635823.6849
986	635820.8198
987	635625.6113
988	635600.7862
989	635525.5191
990	635456.9692
991	635441.5933
992	635437.7218
993	635433.5499
994	635243.7378
995	635055.9011
996	635052.5326
997	634959.7797
998	634940.8218
999	634938.7119
