iter	Passed	Remaining
350	2118	3917
351	2123	3909
352	2129	3902
353	2134	3895
354	2140	3889
355	2146	3882
356	2151	3875
357	2157	3869
358	2163	3862
359	2169	3856
360	2175	3850
361	2181	3844
362	2186	3837
363	2192	3830
364	2198	3824
365	2203	3817
366	2209	3810
367	2215	3804
368	2220	3797
369	2226	3791
370	2232	3784
371	2237	3778
372	2244	3772
373	2249	3765
374	2255	3759
375	2260	3751
376	2266	3744
377	2271	3738
378	2277	3732
379	2285	3729
380	2292	3725
381	2300	3720
382	2306	3715
383	2312	3710
384	2319	3705
385	2325	3699
386	2332	3694
387	2338	3688
388	2344	3682
389	2351	3677
390	2356	3670
391	2363	3665
392	2369	3660
393	2376	3655
394	2383	3650
395	2390	3646
396	2396	3640
397	2403	3635
398	2409	3629
399	2416	3624
400	2422	3619
401	2429	3613
402	2435	3607
403	2441	3601
404	2447	3595
405	2454	3591
406	2461	3585
407	2467	3580
408	2473	3574
409	2480	3569
410	2487	3564
411	2492	3557
412	2499	3551
413	2505	3546
414	2510	3539
415	2517	3534
416	2524	3529
417	2530	3523
418	2536	3517
419	2543	3513
420	2550	3508
421	2557	3502
422	2564	3498
423	2572	3494
424	2580	3491
425	2591	3491
426	2598	3487
427	2607	3484
428	2615	3481
429	2624	3478
430	2631	3474
431	2639	3470
432	2646	3465
433	2653	3459
434	2659	3454
435	2666	3449
436	2673	3444
437	2681	3440
438	2689	3436
439	2696	3431
440	2703	3426
441	2711	3422
442	2718	3418
443	2725	3412
444	2732	3407
445	2738	3401
446	2745	3397
447	2753	3392
448	2760	3387
449	2768	3383
450	2775	3378
451	2782	3373
452	2789	3368
453	2798	3366
454	2806	3361
455	2815	3358
456	2823	3355
457	2831	3350
458	2839	3346
459	2848	3344
460	2857	3340
461	2864	3336
462	2871	3330
463	2880	3327
464	2888	3323
465	2896	3319
466	2904	3315
467	2913	3311
468	2920	3306
469	2927	3301
470	2933	3294
471	2940	3289
472	2946	3282
473	2951	3275
474	2957	3268
475	2963	3262
476	2968	3255
477	2974	3248
478	2980	3242
479	2986	3235
480	2992	3228
481	2998	3222
482	3003	3215
483	3009	3208
484	3015	3201
485	3021	3195
486	3027	3188
487	3033	3182
488	3039	3176
489	3045	3169
490	3051	3162
491	3056	3155
492	3062	3149
493	3068	3143
494	3074	3136
495	3080	3130
496	3086	3123
497	3092	3117
498	3098	3110
499	3103	3103
500	3110	3098
501	3116	3092
502	3124	3087
503	3132	3082
504	3138	3076
505	3147	3073
506	3155	3068
507	3162	3063
508	3170	3058
509	3178	3053
510	3186	3048
511	3193	3044
512	3200	3038
513	3207	3032
514	3213	3026
515	3220	3020
516	3226	3014
517	3232	3008
518	3239	3002
519	3246	2996
520	3252	2990
521	3259	2984
522	3264	2977
523	3270	2971
524	3277	2965
525	3283	2959
526	3289	2952
527	3296	2947
528	3302	2940
529	3307	2933
530	3314	2927
531	3320	2921
532	3326	2914
533	3333	2909
534	3339	2902
535	3344	2895
536	3350	2889
537	3357	2882
538	3362	2875
539	3368	2869
540	3374	2862
541	3379	2855
542	3385	2849
543	3391	2843
544	3397	2836
545	3403	2830
546	3410	2824
547	3416	2817
548	3423	2812
549	3428	2805
550	3434	2799
551	3440	2792
552	3447	2786
553	3453	2779
554	3458	2773
555	3465	2767
556	3472	2761
557	3478	2755
558	3484	2748
559	3489	2742
560	3495	2735
561	3501	2728
562	3507	2722
563	3513	2716
564	3519	2710
565	3526	2703
566	3532	2697
567	3537	2690
568	3543	2683
569	3548	2676
570	3554	2670
571	3560	2664
572	3566	2657
573	3572	2651
574	3577	2644
575	3583	2638
576	3589	2631
577	3596	2625
578	3602	2619
579	3610	2614
580	3615	2607
581	3621	2601
582	3627	2594
583	3633	2588
584	3639	2581
585	3644	2575
586	3650	2568
587	3656	2562
588	3661	2555
589	3667	2548
590	3673	2542
591	3679	2535
592	3685	2529
593	3691	2522
594	3697	2516
595	3702	2509
596	3708	2503
597	3714	2496
598	3720	2490
599	3726	2484
600	3731	2477
601	3737	2471
602	3743	2464
603	3750	2458
604	3755	2452
605	3761	2445
606	3767	2439
607	3773	2432
608	3779	2426
609	3785	2420
610	3791	2414
611	3797	2407
612	3804	2401
613	3809	2395
614	3815	2388
615	3821	2382
616	3827	2375
617	3832	2369
618	3838	2362
619	3844	2356
620	3851	2350
621	3857	2344
622	3863	2338
623	3870	2331
624	3875	2325
625	3882	2319
626	3887	2312
627	3893	2306
628	3899	2299
629	3904	2293
630	3909	2286
631	3915	2280
632	3921	2273
633	3927	2267
634	3933	2260
635	3939	2254
636	3944	2247
637	3950	2241
638	3956	2235
639	3962	2228
640	3968	2222
641	3974	2216
642	3979	2209
643	3985	2202
644	3991	2196
645	3996	2190
646	4002	2183
647	4008	2177
648	4014	2171
649	4020	2164
650	4026	2158
651	4032	2152
652	4037	2145
653	4042	2138
654	4048	2132
655	4054	2126
656	4060	2119
657	4065	2113
658	4072	2107
659	4077	2100
660	4083	2094
661	4088	2087
662	4094	2081
663	4101	2075
664	4106	2068
665	4112	2062
666	4118	2055
667	4123	2049
668	4129	2043
669	4135	2036
670	4142	2030
671	4147	2024
672	4153	2018
673	4159	2011
674	4165	2005
675	4172	1999
676	4178	1993
677	4184	1987
678	4191	1981
679	4198	1975
680	4205	1969
681	4211	1963
682	4219	1958
683	4226	1952
684	4233	1946
685	4240	1941
686	4248	1935
687	4254	1929
688	4261	1923
689	4268	1917
690	4275	1911
691	4283	1906
692	4290	1900
693	4297	1894
694	4303	1888
695	4310	1882
696	4317	1876
697	4324	1871
698	4332	1865
699	4340	1860
700	4347	1854
701	4369	1855
702	4408	1862
703	4414	1856
704	4428	1853
705	4435	1846
706	4441	1840
707	4446	1833
708	4452	1827
709	4457	1820
710	4463	1814
711	4469	1807
712	4475	1801
713	4481	1794
714	4487	1788
715	4492	1781
716	4497	1775
717	4503	1768
718	4509	1762
719	4515	1756
720	4521	1749
721	4527	1743
722	4533	1736
723	4539	1730
724	4544	1723
725	4549	1717
726	4554	1710
727	4561	1704
728	4566	1697
729	4572	1691
730	4577	1684
731	4583	1678
732	4589	1671
733	4595	1665
734	4601	1658
735	4607	1652
736	4612	1646
737	4618	1639
738	4624	1633
739	4630	1626
740	4637	1620
741	4642	1614
742	4648	1608
743	4654	1601
744	4663	1596
745	4670	1590
746	4675	1583
747	4681	1577
748	4687	1570
749	4694	1564
750	4700	1558
751	4706	1552
752	4713	1546
753	4719	1539
754	4725	1533
755	4731	1527
756	4738	1521
757	4743	1514
758	4750	1508
759	4756	1502
760	4762	1495
761	4768	1489
762	4774	1483
763	4780	1476
764	4786	1470
765	4792	1463
766	4797	1457
767	4803	1450
768	4808	1444
769	4814	1438
770	4820	1431
771	4826	1425
772	4831	1418
773	4836	1412
774	4842	1405
775	4848	1399
776	4854	1393
777	4859	1386
778	4866	1380
779	4873	1374
780	4879	1368
781	4885	1361
782	4890	1355
783	4896	1349
784	4902	1342
785	4908	1336
786	4924	1332
787	4930	1326
788	4936	1320
789	4943	1313
790	4949	1307
791	4955	1301
792	4961	1295
793	4967	1288
794	4973	1282
795	4986	1277
796	4994	1272
797	5002	1266
798	5011	1260
799	5019	1254
800	5025	1248
801	5032	1242
802	5040	1236
803	5048	1230
804	5057	1225
805	5066	1219
806	5074	1213
807	5082	1207
808	5089	1201
809	5097	1195
810	5103	1189
811	5111	1183
812	5118	1177
813	5124	1170
814	5131	1164
815	5137	1158
816	5143	1152
817	5149	1145
818	5156	1139
819	5163	1133
820	5169	1127
821	5176	1120
822	5182	1114
823	5188	1108
824	5194	1101
825	5200	1095
826	5207	1089
827	5213	1083
828	5220	1076
829	5226	1070
830	5232	1064
831	5238	1057
832	5243	1051
833	5249	1044
834	5254	1038
835	5260	1031
836	5266	1025
837	5271	1019
838	5277	1012
839	5282	1006
840	5287	999
841	5293	993
842	5299	986
843	5304	980
844	5311	974
845	5316	967
846	5322	961
847	5328	955
848	5334	948
849	5340	942
850	5345	935
851	5351	929
852	5356	923
853	5362	916
854	5368	910
855	5374	904
856	5379	897
857	5385	891
858	5390	884
859	5396	878
860	5402	872
861	5408	865
862	5413	859
863	5419	853
864	5425	846
865	5431	840
866	5437	834
867	5443	827
868	5449	821
869	5455	815
870	5460	808
871	5466	802
872	5472	796
873	5478	789
874	5483	783
875	5489	777
876	5495	770
877	5501	764
878	5508	758
879	5513	751
880	5520	745
881	5525	739
882	5531	732
883	5537	726
884	5543	720
885	5549	714
886	5554	707
887	5561	701
888	5567	695
889	5573	688
890	5579	682
891	5584	676
892	5590	669
893	5596	663
894	5602	657
895	5608	650
896	5614	644
897	5619	638
898	5625	632
899	5631	625
900	5636	619
901	5642	612
902	5648	606
903	5653	600
904	5659	594
905	5665	587
906	5670	581
907	5677	575
908	5682	568
909	5688	562
910	5693	556
911	5699	549
912	5705	543
913	5711	537
914	5717	531
915	5723	524
916	5729	518
917	5735	512
918	5740	505
919	5746	499
920	5752	493
921	5758	487
922	5764	480
923	5769	474
924	5775	468
925	5781	462
926	5787	455
927	5793	449
928	5800	443
929	5805	436
930	5811	430
931	5816	424
932	5822	418
933	5828	411
934	5834	405
935	5841	399
936	5846	393
937	5852	386
938	5858	380
939	5865	374
940	5871	368
941	5877	361
942	5884	355
943	5890	349
944	5897	343
945	5903	336
946	5911	330
947	5917	324
948	5925	318
949	5932	312
950	5939	306
951	5945	299
952	5952	293
953	5958	287
954	5965	281
955	5971	274
956	5978	268
957	5984	262
958	5991	256
959	5997	249
960	6004	243
961	6011	237
962	6017	231
963	6023	224
964	6029	218
965	6036	212
966	6042	206
967	6048	199
968	6054	193
969	6060	187
970	6066	181
971	6072	174
972	6079	168
973	6085	162
974	6091	156
975	6097	149
976	6103	143
977	6109	137
978	6116	131
979	6123	124
980	6129	118
981	6135	112
982	6140	106
983	6147	99
984	6153	93
985	6160	87
986	6166	81
987	6171	74
988	6177	68
989	6183	62
990	6188	56
991	6194	49
992	6200	43
993	6206	37
994	6211	31
995	6217	24
996	6223	18
997	6229	12
998	6234	6
999	6240	0
